"","variety","winery","region_1","region_2","province","designation","country"
"3132","Chardonnay","Etude","Carneros","Napa-Sonoma","California","Grace Benoit Ranch Estate Grown","US"
"3133","Pinot Noir","Bink","Anderson Valley","","California","","US"
"3134","Chardonnay","Ashan","Columbia Valley (WA)","Columbia Valley","Washington","Conner Lee Vineyard","US"
"3135","Bordeaux-style Red Blend","Aluvé","Walla Walla Valley (WA)","Columbia Valley","Washington","Primo Volo","US"
"3136","Red Blend","Buglioni","Amarone della Valpolicella Classico","","Veneto","Il Lussurioso Riserva","Italy"
"3137","Sauvignon Blanc","Château de Crézancy","Sancerre","","Loire Valley","","France"
"3138","Pinot Noir","Domaine Henri Delagrange","Volnay","","Burgundy","Vieilles Vignes","France"
"3139","Cabernet Sauvignon","Sleeping Giant","St. Helena","Napa","California","","US"
"3140","Grüner Veltliner","Solminer","Santa Ynez Valley","Central Coast","California","Delanda Vineyard","US"
"3141","Syrah","Squawking Magpie","","","Hawke's Bay","Stoned Crow Gimblett Gravels","New Zealand"
"3142","Syrah","Trinity Hill","","","Hawke's Bay","Gimblett Gravels","New Zealand"
"3143","Pinot Noir","WesMar","Russian River Valley","Sonoma","California","Balletto Vineyard","US"
"3144","Syrah","JM Cellars","Yakima Valley","Columbia Valley","Washington","Boushey Vineyard","US"
"3145","Pinot Noir","Maison Stéphane Brocard","Gevrey-Chambertin","","Burgundy","Closerie des Alisiers Vieilles Vignes","France"
"3146","Pinot Noir","Gottfried Mocke Wine Projects","","","Coastal Region","Cape Winemakers Guild","South Africa"
"3147","Sémillon","Nicky Versfeld","","","Darling","Cape Winemakers Guild Double Barrel","South Africa"
"3148","Pinot Noir","Vriesenhof","","","Stellenbosch","Cape Winemakers Guild","South Africa"
"3149","Sauvignon Blanc","Nitida","","","Durbanville","Cape Winemakers Guild Swan Song","South Africa"
"3150","Pinot Noir","Wayfarer","Fort Ross-Seaview","Sonoma","California","The Traveler","US"
"3151","Nerello Mascalese","Passopisciaro","Terre Siciliane","","Sicily & Sardinia","Contrada R","Italy"
"3152","Pinot Noir","Calera","Mt. Harlan","Central Coast","California","Reed","US"
"3153","Pinot Noir","Donum","Russian River Valley","Sonoma","California","Single Vineyard Reserve","US"
"3154","Nebbiolo","Massolino","Barolo","","Piedmont","Parafada","Italy"
"3155","Chenin Blanc","Château Pierre-Bise","Quarts de Chaume","","Loire Valley","Grand Cru","France"
"3156","Chardonnay","Three Sticks","Sonoma Valley","Sonoma","California","Durell Vineyard Origin","US"
"3157","Nebbiolo","Giacomo Conterno","Barolo","","Piedmont","Francia","Italy"
"3158","Red Blend","Biondi","Etna","","Sicily & Sardinia","Contrada Monte San Nicolò","Italy"
"3159","Chenin Blanc","Château de Fesles","Bonnezeaux","","Loire Valley","Vin Rare","France"
"3160","Red Blend","COS","Vittoria","","Sicily & Sardinia","Pithos Rosso","Italy"
"3161","Cabernet Sauvignon-Merlot","Aguirre","","","Central Valley","Reina Ana","Chile"
"3162","Zinfandel","Wood Family Vineyards","Livermore Valley","Central Coast","California","Muy Bueno","US"
"3163","Sauvignon Blanc","Cara Mia","Delle Venezie","","Northeastern Italy","","Italy"
"3164","Chardonnay","Materra Cunat Family Vineyards","Oak Knoll District","Napa","California","","US"
"3165","Pinot Noir","Hess Select","Central Coast","Central Coast","California","","US"
"3166","Lambrusco","Quarticello","Lambrusco dell'Emilia","","Central Italy","Ferrando","Italy"
"3167","Pinot Noir","Six Degrees","California","California Other","California","","US"
"3168","White Blend","Austerity","California","California Other","California","","US"
"3169","Bordeaux-style Red Blend","Château de Piote","Bordeaux Clairet","","Bordeaux","","France"
"3170","Sangiovese","Costa Archi","Sangiovese di Romagna Superiore","","Central Italy","Assiolo","Italy"
"3171","Zinfandel","Amador Cellars","Amador County","Sierra Foothills","California","Westside Vineyard","US"
"3172","Petite Sirah","Green Truck","Mendocino County","","California","","US"
"3173","Zinfandel","Brochelle Vineyards","Paso Robles","Central Coast","California","","US"
"3174","Bordeaux-style Red Blend","Château Larroque","Bordeaux Rosé","","Bordeaux","","France"
"3175","Cabernet Sauvignon-Merlot","Cornellana","","","Cachapoal Valley","","Chile"
"3176","Cabernet Sauvignon","Harlow Ridge","Lodi","Central Valley","California","","US"
"3177","Rosé","Dominio de Eguren","Vino de la Tierra de Castilla","","Central Spain","Protocolo","Spain"
"3178","Pinot Noir","William Cole","","","Casablanca Valley","Albamar","Chile"
"3179","Garnacha","Bodegas 1898","Catalunya","","Catalonia","Ramón Roqueta","Spain"
"3180","Merlot","Fattoria Giuseppe Savini","Colli Aprutini","","Central Italy","Rondineto","Italy"
"3181","Sparkling Blend","Paul Cheneau","Cava","","Catalonia","Demi Sec","Spain"
"3182","Viura","Eguren","Vino de la Tierra de Castilla","","Central Spain","","Spain"
"3183","Portuguese Red","Quinta do Castelinho","","","Douro","Quinta Dona Mafalda Vinhas Velhas","Portugal"
"3184","Pinot Noir","Rock Point","Oregon","Oregon Other","Oregon","","US"
"3185","Portuguese Red","Jose Maria Vieira","","","Douro","Borges Quinta da Soalheira","Portugal"
"3186","Tempranillo","Weisinger","Rogue Valley","Southern Oregon","Oregon","Estate","US"
"3187","Montepulciano","Il Feuduccio Di S. Maria D'Orni","Montepulciano d'Abruzzo","","Central Italy","Fonte Venna","Italy"
"3188","Montepulciano","Illuminati Dino","Montepulciano d'Abruzzo Colline Teramane","","Central Italy","Pieluni Riserva","Italy"
"3189","Cabernet Sauvignon","Viñalba","Valle de Uco","","Mendoza Province","Reserva","Argentina"
"3190","Portuguese Red","Casa Ferreirinha","","","Douro","Esteva","Portugal"
"3191","Bordeaux-style White Blend","Château de Birot","Bordeaux Blanc","","Bordeaux","","France"
"3192","Sparkling Blend","Chic Barcelona","Cava","","Catalonia","Semi-Sec Rosé","Spain"
"3193","Portuguese Red","Prats & Symington LDA","","","Douro","Prazo de Roriz","Portugal"
"3194","Portuguese Red","Quinta do Filoco","","","Douro","Reserva","Portugal"
"3195","Moscato","Villa Giada","Moscato d'Asti","","Piedmont","Suri","Italy"
"3196","Albariño","Palacio de Fefiñanes","Rías Baixas","","Galicia","","Spain"
"3197","Chardonnay","Perception","Russian River Valley","Sonoma","California","","US"
"3198","Syrah","Sanguis","California","California Other","California","Waxing Poetic","US"
"3199","Corvina, Rondinella, Molinara","Santa Sofia","Valpolicella Superiore Ripasso","","Veneto","","Italy"
"3200","Corvina, Rondinella, Molinara","Sartori","Valpolicella Classico Superiore","","Veneto","Vigneti di Montegradella","Italy"
"3201","Pinot Noir","Scott Family","Arroyo Seco","Central Coast","California","","US"
"3202","Cabernet Sauvignon","Arger-Martucci","Napa Valley","Napa","California","","US"
"3203","Syrah","Autonom","California","California Other","California","Law of Proportions","US"
"3204","Monastrell","Bodegas Tarima","Jumilla","","Levante","","Spain"
"3205","Grenache-Syrah","Château Grande Cassagne","Costières de Nîmes","","Rhône Valley","","France"
"3206","Corvina, Rondinella, Molinara","Degani","Valpolicella Classico Superiore Ripasso","","Veneto","Cicilio","Italy"
"3207","Syrah","Dierberg","Santa Ynez Valley","Central Coast","California","","US"
"3208","Rhône-style Red Blend","Domaine Nicolas Boiron","Côtes du Rhône","","Rhône Valley","","France"
"3209","Mencía","Dominio de Tares","Bierzo","","Northern Spain","Baltos","Spain"
"3210","White Blend","Finca Allende","Rioja","","Northern Spain","Blanco","Spain"
"3211","Red Blend","Genium Celler","Priorat","","Catalonia","Ecològic","Spain"
"3212","Riesling","Highland Cellars","Seneca Lake","Finger Lakes","New York","Oughterson Family Estates","US"
"3213","Riesling","Keuka Lake Vineyards","Finger Lakes","Finger Lakes","New York","Falling Man Vineyard Dry","US"
"3214","White Blend","Korta","","","Lontué Valley","Viognier-Sauvignon Blanc-Chardonnay","Chile"
"3215","Nebbiolo","Francesco Rinaldi","Barolo","","Piedmont","Cannubi","Italy"
"3216","Grenache","No Girls","Walla Walla Valley (OR)","Oregon Other","Oregon","La Paciencia Vineyard","US"
"3217","Pinot Noir","Orfila","Santa Maria Valley","Central Coast","California","Sequestered","US"
"3218","Nebbiolo","Curto Marco","Barolo","","Piedmont","La Foia","Italy"
"3219","Chardonnay","Domaine Drouhin","Dundee Hills","Willamette Valley","Oregon","Édition Limitée","US"
"3220","Sauvignon Blanc","Domaine Laporte","Sancerre","","Loire Valley","Le Rochoy","France"
"3221","Chardonnay","Bethel Heights","Eola-Amity Hills","Willamette Valley","Oregon","The High Wire Estate","US"
"3222","Cabernet Sauvignon-Malbec","Bodega Catena Zapata","Mendoza","","Mendoza Province","Nicolas Catena Zapata","Argentina"
"3223","Touriga Nacional","Casa Anadia","","","Dão","Palácio Anadia Reserva","Portugal"
"3224","Sauvignon Blanc","Daniel Chotard","Sancerre","","Loire Valley","Les Cris","France"
"3225","Bordeaux-style Red Blend","Château Dassault","Saint-Émilion","","Bordeaux","Barrel sample","France"
"3226","Bordeaux-style Red Blend","Château Rahoul","Graves","","Bordeaux","Barrel sample","France"
"3227","Bordeaux-style Red Blend","Alter Ego de Palmer","Margaux","","Bordeaux","Barrel sample","France"
"3228","Bordeaux-style Red Blend","Château Fontenil","Fronsac","","Bordeaux","Barrel sample","France"
"3229","Bordeaux-style Red Blend","Château Kirwan","Margaux","","Bordeaux","Barrel sample","France"
"3230","Bordeaux-style Red Blend","Château Latour-Martillac","Pessac-Léognan","","Bordeaux","Barrel sample","France"
"3231","Barbera","Vietti","Barbera d'Asti","","Piedmont","Tre Vigne","Italy"
"3232","Bordeaux-style Red Blend","Château Bourgneuf-Vayron","Pomerol","","Bordeaux","Barrel sample","France"
"3233","Cabernet Sauvignon","Stark-Condé","","","Stellenbosch","","South Africa"
"3234","Bordeaux-style White Blend","Château de France","Pessac-Léognan","","Bordeaux","Barrel sample","France"
"3235","Bordeaux-style Red Blend","Château Olivier","Pessac-Léognan","","Bordeaux","Barrel sample","France"
"3236","Bordeaux-style White Blend","Château Smith Haut Lafitte","Pessac-Léognan","","Bordeaux","Barrel sample","France"
"3237","Bordeaux-style White Blend","Château Bastor-Lamontagne","Sauternes","","Bordeaux","Barrel Sample","France"
"3238","Bordeaux-style Red Blend","Château Croizet-Bages","Pauillac","","Bordeaux","Barrel sample","France"
"3239","Syrah","Klinker Brick","Lodi","Central Valley","California","Farráh","US"
"3240","Cabernet Franc","Tildio","Wahluke Slope","Columbia Valley","Washington","","US"
"3241","Cabernet Sauvignon","Pine & Brown","Rutherford","Napa","California","","US"
"3242","Riesling","Schloss Johannisberger","","","Rheingau","Rotlack Kabinett Feinherb","Germany"
"3243","Pinot Noir","Gros Ventre","Russian River Valley","Sonoma","California","Baranoff Vineyard","US"
"3244","Cabernet Sauvignon","Hawk and Horse Vineyards","Red Hills Lake County","","California","","US"
"3245","Riesling","Joh. Jos. Prüm","","","Mosel","Wehlener Sonnenuhr Spätlese","Germany"
"3246","Riesling","Johannishof","","","Rheingau","Rüdesheimer Berg Rottland Spätlese","Germany"
"3247","Pinot Gris","King Estate","Willamette Valley","Willamette Valley","Oregon","Antiquum Vineyards","US"
"3248","Garnacha","Palacios Remondo","Rioja","","Northern Spain","Propiedad","Spain"
"3249","Cabernet Franc","Lang & Reed","Napa Valley","Napa","California","Two-Fourteen","US"
"3250","Chardonnay","Lucienne","Santa Lucia Highlands","Central Coast","California","Lone Oak Vineyard","US"
"3251","Pinot Noir","Navarro","Anderson Valley","","California","","US"
"3252","Cabernet Sauvignon","Occasio","Livermore Valley","Central Coast","California","","US"
"3253","Bordeaux-style Red Blend","Pear Valley","Paso Robles","Central Coast","California","Distraction","US"
"3254","Chardonnay","Stonehedge","Napa Valley","Napa","California","Reserve","US"
"3255","Tempranillo","Bodegas Landaluce","Rioja","","Northern Spain","Fincas Landaluce Crianza","Spain"
"3256","Tempranillo","Bodegas Palacio","Rioja","","Northern Spain","Cosme Palacio Vendimia Seleccionada","Spain"
"3257","Pinot Noir-Gamay","Benoît Daridan","Cheverny","","Loire Valley","","France"
"3258","Pinot Noir","Coeur de Terre","Willamette Valley","Willamette Valley","Oregon","Oregon","US"
"3259","Pinot Noir","Cummins Road","Willamette Valley","","Oregon","","US"
"3260","Dolcetto","La Fusina","Dogliani Superiore","","Piedmont","","Italy"
"3261","Nebbiolo","Monchiero Carbone","Roero","","Piedmont","Printi Riserva","Italy"
"3262","Barbera","Montalbera","Barbera d'Asti","","Piedmont","La Ribelle","Italy"
"3263","Tempranillo","Raiza","Rioja","","Northern Spain","Crianza","Spain"
"3264","Barbera","Podere Ruggeri Corsini","Barbera d'Alba","","Piedmont","Armujan","Italy"
"3265","Alvarinho","Terras de Alter","","","Alentejano","Terra d'Alter","Portugal"
"3266","Pinot Noir","Shoofly","Victoria","","Victoria","","Australia"
"3267","Chardonnay","Tabor","","","Galilee","Mt. Tabor","Israel"
"3268","Malbec","Tiza","Uco Valley","","Mendoza Province","","Argentina"
"3269","Pinot Noir","Larkspur","Oregon","Oregon Other","Oregon","","US"
"3270","Malbec","Ledger David","Rogue Valley","Southern Oregon","Oregon","","US"
"3271","Chardonnay","Château Souverain","California","California Other","California","Winemaker's Reserve","US"
"3272","Sauvignon Blanc","Eagle & Rose Estate","Napa Valley","Napa","California","","US"
"3273","Chardonnay","Hoodsport","Yakima Valley","Columbia Valley","Washington","Reserve","US"
"3274","Sangiovese","Il Poggione","Brunello di Montalcino","","Tuscany","","Italy"
"3275","Austrian Red Blend","Juris","","","Weinland Österreich","Tricata","Austria"
"3276","Bordeaux-style Red Blend","Château La Garricq","Moulis-en-Médoc","","Bordeaux","","France"
"3277","Bordeaux-style Red Blend","Château l'Évangile","Pomerol","","Bordeaux","Blason de l'Evangile","France"
"3278","Bordeaux-style Red Blend","Château Saint-Estèphe","Saint-Estèphe","","Bordeaux","","France"
"3279","Sangiovese","Conti Costanti","Brunello di Montalcino","","Tuscany","","Italy"
"3280","Sangiovese","Corte dei Venti","Brunello di Montalcino","","Tuscany","","Italy"
"3281","Chardonnay","DaMa","Columbia Valley (WA)","Columbia Valley","Washington","","US"
"3282","Malbec","DiamAndes","Uco Valley","","Mendoza Province","de Uco","Argentina"
"3283","Tinto Fino","Emilio Moro","Ribera del Duero","","Northern Spain","","Spain"
"3284","Chardonnay","Godspeed","Mount Veeder","Napa","California","Estate Grown","US"
"3285","Sauvignon Blanc","Gross","","","Südsteiermark","Sulz","Austria"
"3286","Sangiovese","San Lorenzo","Brunello di Montalcino","","Tuscany","Bramante","Italy"
"3287","Malbec-Cabernet Sauvignon","TeHo","Mendoza","","Mendoza Province","Red Blend","Argentina"
"3288","Sangiovese","Terre Nere","Brunello di Montalcino","","Tuscany","","Italy"
"3289","Ribolla Gialla","Gigante","Colli Orientali del Friuli","","Northeastern Italy","","Italy"
"3290","Moschofilero","Greek Wine Cellars","","","Mantinia","Moscofilero","Greece"
"3291","Pinot Grigio","Bella Ragazza","California","California Other","California","","US"
"3292","Sauvignon Blanc","Castelluccio","Forlì","","Central Italy","Lunaria","Italy"
"3293","Agiorgitiko","Estate Constantin Gofas","","","Nemea","","Greece"
"3294","Grechetto","Fongoli","Colli Martani","","Central Italy","","Italy"
"3295","Moschofilero","Lafazanis","","","Mantinia","Electus","Greece"
"3296","White Blend","Moretti Omero","Umbria","","Central Italy","Nessuno","Italy"
"3297","Chardonnay","Peter Franus","Carneros","Napa-Sonoma","California","","US"
"3298","Pinot Grigio","TerrAmore","Veneto","","Veneto","","Italy"
"3299","Riesling","Bogle","California","California Other","California","","US"
"3300","Moschofilero","Boutari","","","Mantinia","","Greece"
"3301","Pinot Noir","Carmel Road","Monterey","Central Coast","California","","US"
"3302","Grüner Veltliner","Laurenz V.","","","Niederösterreich","Laurenz and Sophie Singing","Austria"
"3303","Pinot Gris","LaVelle","Willamette Valley","Willamette Valley","Oregon","","US"
"3304","Chenin Blanc","Mullineux","","","Swartland","Kloof Street","South Africa"
"3305","Pinot Noir","Chaltén","Neuquén","","Other","Reserva","Argentina"
"3306","Zinfandel","Fernwood","Santa Cruz Mountains","Central Coast","California","Estate","US"
"3307","Grenache","Vino Sapien","Santa Barbara County","Central Coast","California","Thompson Vineyard Granddaddy","US"
"3308","Cabernet Sauvignon","La Fenêtre","Santa Barbara County","Central Coast","California","Santa Barbara Highlands Vineyard","US"
